state	value	color
Distrito Federal	8.623	#388652
Oaxaca	7.219	#79c452
Chihuahua	7.123	#79c452
Guerrero	7.032	#79c452
Baja California	6.854	#ebd06e
Puebla	6.761	#ebd06e
Durango	6.741	#ebd06e
Tlaxcala	6.702	#ebd06e
Morelos	6.657	#ebd06e
Nuevo León	6.547	#ebd06e
Coahuila	6.524	#ebd06e
Nayarit	6.521	#ebd06e
San Luis Potosi	6.345	#df6c4f
México	6.217	#df6c4f
Campeche	6.056	#df6c4f
Veracruz	6.012	#df6c4f
Zacatecas	5.933	#df6c4f
Jalisco	5.931	#df6c4f
Aguascalientes	5.892	#df6c4f
Colima	5.652	#df6c4f
Chiapas	5.607	#df6c4f
Baja California Sur	5.578	#de2b33
Michoacán	5.557	#de2b33
Tabasco	5.546	#de2b33
Hidalgo	5.54	#de2b33
Guanajuato	5.512	#de2b33
Querétaro	5.433	#de2b33
Sonora	5.364	#de2b33
Sinaloa	5.321	#de2b33
Tamaulipas	5.259	#de2b33
Yucatán	5.122	#de2b33
Quintana Roo	5.065	#de2b33
