state	value	color
Distrito Federal	9.296	#388652
Chihuahua	8.537	#79c452
Baja California	7.974	#ebd06e
Morelos	7.951	#ebd06e
Guerrero	7.845	#ebd06e
Tlaxcala	7.836	#ebd06e
Durango	7.821	#ebd06e
Oaxaca	7.805	#ebd06e
Nayarit	7.665	#df6c4f
San Luis Potosi	7.638	#df6c4f
Puebla	7.33	#df6c4f
Nuevo León	7.276	#df6c4f
Coahuila	7.217	#df6c4f
Campeche	7.091	#df6c4f
México	6.953	#df6c4f
Chiapas	6.949	#df6c4f
Colima	6.949	#df6c4f
Aguascalientes	6.912	#df6c4f
Sinaloa	6.872	#de2b33
Baja California Sur	6.841	#de2b33
Queretaro	6.747	#de2b33
Veracruz	6.697	#de2b33
Michoacán	6.693	#de2b33
Jalisco	6.659	#de2b33
Zacatecas	6.626	#de2b33
Tabasco	6.604	#de2b33
Guanajuato	6.5	#de2b33
Hidalgo	6.429	#de2b33
Sonora	6.398	#de2b33
Tamaulipas	6.061	#de2b33
Quintana Roo	6.028	#de2b33
Yucatán	6.02	#de2b33
